table,fig,section,name,translation,carpet,type,note
17,6,,Херченг,Рак,Алпан,К.-Ш,Считается основным элементом ковра «Алпан».
17,7,,Гурбага,Лягушка,Баку,К.-Ш,
18,1,,Пишик,Кошка,Карабах,Кар.,
18,2,,Кучук,Щенок,Карабах,Кар.,
18,3,,Гузу,Ягненок,Фатмаи,К.-Ш,
18,4,,Тула,Щенок,Ширван,К.-Ш,
18,5,,?,,Карагашлы,К.-Ш,
18,6,,Гузу,Ягненок,Ширван,К.-Ш,Встречается в бордюре ковра «Кабала».
18,7,,Ит,Собака,Гянджа,Г.-К,Встречается также в вышивках Карабаха.
18,8,,Тазы,Охотничья собака,Караязы,Г.-К,
18,9,,Ит,Собака,Карабах,Кар.,Этот элемент относится к XIX веку.
18,10,,Хейван,"Животное Гянджа Г.-К Несмотря на то, что изображение",четвероногое,—,это птица.
18,11,,Ат,Лошадь,Караязы,Г.-К,Встречается и в карабахских коврах.
18,12,,Ит,Собака,Караязы,Г.-К,
18,13,,Гоюн,Овца,Конахкенд,К.-Ш,
18,14,,Тоус,Павлин,Карабах,Кар.,"Элементы, данные в рис. 14, 15, 16, взяты из карабахских узоров. Изображение семиног у этих птиц когда-то носило символический смысл."
18,15,,Тоус,Павлин,Карабах,Кар.,
18,16,,Тоус,Павлин,Карабах,Кар.,
19,1,,Джейран,Серна,Малыбейли,Кар.,
19,2,,Джейран,Серна,Малыбейли,Кар.,Больше напоминает пасущуюся овцу.
19,3,,Марал,Олень,Малыбейли,Кар.,
19,4,,Кечи,Коза,Салмесоюд,К.-Ш,
19,5,,Гоюн,Овца,Карабах,Кар.,
19,6,,Инәк,Корова,Караязы,Г.-К,
19,7,,Гоч,Баран,Казах,Г.-К,Больше напоминает оленя.
19,8,,Кечидабаны,Козлиная пятка,Гянджа,Г.-К,Означает след животного.
19,9,,Дәвә,Верблюд,Ширван,К.-Ш,
19,10,,Чинар,Тополь,Карагашлы,К.-Ш,"Предполагается, что это голова животного."
19,11,,Дәвә,Верблюд,Ширван,К.-Ш,
19,12,,Дәвә,Верблюд,Ширван,К.-Ш,
